fips_code,county_name,heart_disease_deathrate_per_100000
13109,"""Evans, (GA)""",521.9
13111,"""Fannin, (GA)""",463.9
13113,"""Fayette, (GA)""",355.4
13115,"""Floyd, (GA)""",556.3
13117,"""Forsyth, (GA)""",352.6
13119,"""Franklin, (GA)""",594.0
13121,"""Fulton, (GA)""",431.8
13123,"""Gilmer, (GA)""",407.7
13125,"""Glascock, (GA)""",548.1
13127,"""Glynn, (GA)""",442.7
13129,"""Gordon, (GA)""",612.1
13131,"""Grady, (GA)""",482.5
13133,"""Greene, (GA)""",462.6
13135,"""Gwinnett, (GA)""",361.6
13137,"""Habersham, (GA)""",447.9
13139,"""Hall, (GA)""",414.8
13141,"""Hancock, (GA)""",513.5
13143,"""Haralson, (GA)""",637.2
13145,"""Harris, (GA)""",404.6
13147,"""Hart, (GA)""",489.7
13149,"""Heard, (GA)""",483.6
13151,"""Henry, (GA)""",459.9
13153,"""Houston, (GA)""",452.6
13155,"""Irwin, (GA)""",540.7
13157,"""Jackson, (GA)""",516.6
13159,"""Jasper, (GA)""",507.7
13161,"""Jeff Davis, (GA)""",584.2
13163,"""Jefferson, (GA)""",597.6
13165,"""Jenkins, (GA)""",553.5
13167,"""Johnson, (GA)""",532.9
13169,"""Jones, (GA)""",482.7
13171,"""Lamar, (GA)""",548.3
13173,"""Lanier, (GA)""",618.8
13175,"""Laurens, (GA)""",597.7
13177,"""Lee, (GA)""",490.5
13179,"""Liberty, (GA)""",418.5
13181,"""Lincoln, (GA)""",554.0
13183,"""Long, (GA)""",493.4
13185,"""Lowndes, (GA)""",632.7
13187,"""Lumpkin, (GA)""",425.0
13189,"""McDuffie, (GA)""",552.7
13191,"""McIntosh, (GA)""",382.3
13193,"""Macon, (GA)""",649.6
13195,"""Madison, (GA)""",561.6
13197,"""Marion, (GA)""",551.0
13199,"""Meriwether, (GA)""",612.1
13201,"""Miller, (GA)""",570.0
13205,"""Mitchell, (GA)""",593.1
13207,"""Monroe, (GA)""",532.8
13209,"""Montgomery, (GA)""",604.7
13211,"""Morgan, (GA)""",507.4
13213,"""Murray, (GA)""",518.5
13215,"""Muscogee, (GA)""",581.9
13217,"""Newton, (GA)""",500.2
13219,"""Oconee, (GA)""",439.8
13221,"""Oglethorpe, (GA)""",395.7
13223,"""Paulding, (GA)""",394.9
13225,"""Peach, (GA)""",693.7
13227,"""Pickens, (GA)""",470.6
13229,"""Pierce, (GA)""",570.0
13231,"""Pike, (GA)""",530.2
13233,"""Polk, (GA)""",677.8
13235,"""Pulaski, (GA)""",682.0
13237,"""Putnam, (GA)""",530.1
13239,"""Quitman, (GA)""",611.1
13241,"""Rabun, (GA)""",433.8
13243,"""Randolph, (GA)""",580.6
13245,"""Richmond, (GA)""",514.3
13247,"""Rockdale, (GA)""",401.5
13249,"""Schley, (GA)""",598.3
13251,"""Screven, (GA)""",578.3
13253,"""Seminole, (GA)""",579.3
13255,"""Spalding, (GA)""",577.2
13257,"""Stephens, (GA)""",624.8
13259,"""Stewart, (GA)""",521.2
13261,"""Sumter, (GA)""",622.6
13263,"""Talbot, (GA)""",566.3
13265,"""Taliaferro, (GA)""",521.6
13267,"""Tattnall, (GA)""",567.7
13269,"""Taylor, (GA)""",641.7
13271,"""Telfair, (GA)""",557.7
13273,"""Terrell, (GA)""",543.5
13275,"""Thomas, (GA)""",554.6
13277,"""Tift, (GA)""",557.1
13279,"""Toombs, (GA)""",612.1
13281,"""Towns, (GA)""",430.5
13283,"""Treutlen, (GA)""",588.5
13285,"""Troup, (GA)""",553.8
13287,"""Turner, (GA)""",546.5
13289,"""Twiggs, (GA)""",641.5
13291,"""Union, (GA)""",437.6
13293,"""Upson, (GA)""",617.6
13295,"""Walker, (GA)""",677.0
13297,"""Walton, (GA)""",499.2
13299,"""Ware, (GA)""",583.9
13301,"""Warren, (GA)""",573.7
13303,"""Washington, (GA)""",517.1
13305,"""Wayne, (GA)""",538.1
13307,"""Webster, (GA)""",473.3
13309,"""Wheeler, (GA)""",588.6
13311,"""White, (GA)""",425.2
13313,"""Whitfield, (GA)""",484.3
13315,"""Wilcox, (GA)""",576.1
13317,"""Wilkes, (GA)""",680.3
13319,"""Wilkinson, (GA)""",660.9
13321,"""Worth, (GA)""",531.0
15001,"""Hawaii, (HI)""",372.6
15003,"""Honolulu, (HI)""",345.5
15005,"""Kalawao, (HI)""",334.2
15007,"""Kauai, (HI)""",350.7
15009,"""Maui, (HI)""",341.2
16001,"""Ada, (ID)""",362.8
16003,"""Adams, (ID)""",417.7
16005,"""Bannock, (ID)""",485.5
16007,"""Bear Lake, (ID)""",397.7
16009,"""Benewah, (ID)""",411.0
16011,"""Bingham, (ID)""",456.9
